rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,9860,9860,0,9738,9738,0,1.25282
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,20475,20475,0,19328,19328,0,5.9344
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,20849,20849,0,21804,21804,0,-4.37993
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,CARDIFF WALES,39,0,39,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,24315,24315,0,24109,24020,89,0.85445
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,GATWICK,81013,81013,0,44285,44285,0,82.93553
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,25544,25544,0,24426,24426,0,4.57709
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,JERSEY,2213,2213,0,1036,1036,0,113.61004
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),41032,41032,0,38870,38870,0,5.56213
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,LUTON,26040,25998,42,27819,27819,0,-6.39491
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,21457,21457,0,20564,20564,0,4.34254
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,20572,20572,0,19217,19217,0,7.05105
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST INTERNATIONAL,STANSTED,30170,30170,0,30534,30534,0,-1.19211
23/12/2016 09:40,201610,201510,Other Reporting Airports,BENBECULA,GLASGOW,2389,2389,0,2063,2063,0,15.80223
23/12/2016 09:40,201610,201510,Other Reporting Airports,BENBECULA,STORNOWAY,679,679,0,717,717,0,-5.29986
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,ABERDEEN,11800,11800,0,10398,10398,0,13.48336
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,BELFAST CITY (GEORGE BEST),22738,22738,0,21647,21375,272,5.03996
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,BELFAST INTERNATIONAL,20334,20334,0,19191,19191,0,5.95592
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,EDINBURGH,22219,22219,0,24086,23819,267,-7.75139
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,GATWICK,0,0,0,147,0,147,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,GLASGOW,20169,20079,90,20157,20087,70,0.05953
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,GUERNSEY,2460,2460,0,3097,3097,0,-20.56829
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,INVERNESS,3699,3699,0,3843,3843,0,-3.74707
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,ISLE OF MAN,3518,3518,0,3264,3264,0,7.78186
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,JERSEY,6239,6239,0,4603,4603,0,35.54204
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,LIVERPOOL (JOHN LENNON),71,71,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,MANCHESTER,34,34,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,NEWCASTLE,0,0,0,754,754,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,NEWQUAY,3120,3120,0,2309,2309,0,35.12343
23/12/2016 09:40,201610,201510,Other Reporting Airports,BIRMINGHAM,STANSTED,0,0,0,255,0,255,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BLACKPOOL,ISLE OF MAN,1411,1411,0,988,988,0,42.81377
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,ABERDEEN,35,35,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,DURHAM TEES VALLEY,80,0,80,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,GLASGOW,0,0,0,3715,3715,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,HUMBERSIDE,69,0,69,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,JERSEY,0,0,0,2316,2316,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,LIVERPOOL (JOHN LENNON),0,0,0,72,0,72,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,MANCHESTER,0,0,0,4214,4148,66,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BOURNEMOUTH,STANSTED,83,0,83,242,0,242,-65.70248
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,ABERDEEN,1870,1870,0,2284,2284,0,-18.12609
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,BELFAST INTERNATIONAL,20689,20689,0,21791,21791,0,-5.05713
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,BIRMINGHAM,177,177,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,CARDIFF WALES,433,433,0,0,0,0,0
23/12/2016 09:40,201610,201510,Other Reporting Airports,BRISTOL,EAST MIDLANDS INTERNATIONAL,2,2,0,0,0,0,0
